Player,Position,Weight,Team,Nationality,Game_Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1991,West,Coaches,7,0,84,1986,2,9
Tim Hardaway,PG,175,Golden State Warriors,United States,1991,West,Coaches,6,0,72,1989,1,14
Kevin Johnson,PG,180,Phoenix Suns,United States,1991,West,Fans,6,1,73,1987,1,7
Magic Johnson,PG,255,Los Angeles Lakers,United States,1991,West,Fans,6,9,81,1979,1,1
Karl Malone,PF,265,Utah Jazz,United States,1991,West,Fans,6,9,81,1985,1,13
Chris Mullin,SF,215,Golden State Warriors,United States,1991,West,Fans,6,7,79,1985,1,7
Terry Porter,PG,195,Portland Trail Blazers,United States,1991,West,Coaches,6,3,75,1985,1,24
David Robinson,C,250,San Antonio Spurs,United States,1991,West,Fans,7,1,85,1987,1,1
John Stockton,PG,170,Utah Jazz,United States,1991,West,Coaches,6,1,73,1984,1,16
James Worthy,SF,225,Los Angeles Lakers,United States,1991,West,Coaches,6,9,81,1982,1,1
Michael Adams,PG,163,Washington Bullets,United States,1992,East,Replacement,5,10,70,1985,3,19
Charles Barkley,PF,252,Philadelphia Sixers,United States,1992,East,Fans,6,6,78,1984,1,5
Larry Bird,SF,220,Boston Celtics,United States,1992,East,Fans,6,9,81,1978,1,6
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1992,East,Coaches,7,0,84,1986,1,1
Joe Dumars,SG,190,Detroit Pistons,United States,1992,East,Coaches,6,3,75,1985,1,18
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1992,East,Fans,7,0,84,1985,1,1
Michael Jordan,SG,215,Chicago Bulls,United States,1992,East,Fans,6,6,78,1984,1,3
Reggie Lewis,SF,195,Boston Celtics,United States,1992,East,Coaches,6,7,79,1987,1,22
Scottie Pippen,SF,228,Chicago Bulls,United States,1992,East,Coaches,6,8,80,1987,1,5
Mark Price,PG,170,Cleveland Cavaliers,United States,1992,East,Coaches,6,0,72,1986,2,1
Dennis Rodman,PF,210,Detroit Pistons,United States,1992,East,Coaches,6,7,79,1986,2,3
Isiah Thomas,PG,180,Detroit Pistons,United States,1992,East,Fans,6,1,73,1981,1,2
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1992,East,Coaches,6,7,79,1982,1,3
Kevin Willis,C,245,Atlanta Hawks,United States,1992,East,Replacement,7,0,84,1984,1,11
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1992,West,Fans,6,7,79,1983,1,14
Tim Hardaway,PG,175,Golden State Warriors,United States,1992,West,Coaches,6,0,72,1989,1,14
Jeff Hornacek,SG,190,Phoenix Suns,United States,1992,West,Coaches,6,3,75,1986,2,22
Magic Johnson,PG,255,Los Angeles Lakers,United States,1992,West,Fans,6,9,81,1979,1,1
Dan Majerle,SG,215,Phoenix Suns,United States,1992,West,Coaches,6,6,78,1988,1,14
Karl Malone,PF,265,Utah Jazz,United States,1992,West,Fans,6,9,81,1985,1,13
Chris Mullin,SF,215,Golden State Warriors,United States,1992,West,Fans,6,7,79,1985,1,7
Dikembe Mutombo,C,260,Denver Nuggets,Democratic Republic of the Congo,1992,West,Coaches,7,2,86,1991,1,4
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1992,West,Coaches,7,0,84,1984,1,1
David Robinson,C,250,San Antonio Spurs,United States,1992,West,Fans,7,1,85,1987,1,1
John Stockton,PG,170,Utah Jazz,United States,1992,West,Coaches,6,1,73,1984,1,16
Otis Thorpe,PF,225,Houston Rockets,United States,1992,West,Coaches,6,9,81,1984,1,9
James Worthy,SF,225,Los Angeles Lakers,United States,1992,West,Coaches,6,9,81,1982,1,1
Charles Barkley,PF,252,Phoenix Suns,United States,1993,West,Fans,6,6,78,1984,1,5
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1993,West,Fans,6,7,79,1983,1,14
Sean Elliott,SF,205,San Antonio Spurs,United States,1993,West,Coaches,6,8,80,1989,1,3
Tim Hardaway,PG,175,Golden State Warriors,United States,1993,West,Coaches,6,0,72,1989,1,14
Shawn Kemp,C,280,Seattle SuperSonics,United States,1993,West,Coaches,6,10,82,1989,1,17
Dan Majerle,SG,215,Phoenix Suns,United States,1993,West,Coaches,6,6,78,1988,1,14
Karl Malone,PF,265,Utah Jazz,United States,1993,West,Fans,6,9,81,1985,1,13
Danny Manning,F,230,Los Angeles Clippers,United States,1993,West,Coaches,6,10,82,1988,1,1
Chris Mullin,SF,215,Golden State Warriors,United States,1993,West,Coaches,6,7,79,1985,1,7
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1993,West,Coaches,7,0,84,1984,1,1
Terry Porter,PG,195,Portland Trail Blazers,United States,1993,West,Replacement,6,3,75,1985,1,24
Mitch Richmond,SG,215,Sacramento Kings,United States,1993,West,Coaches,6,5,77,1988,1,5
David Robinson,C,250,San Antonio Spurs,United States,1993,West,Fans,7,1,85,1987,1,1
John Stockton,PG,170,Utah Jazz,United States,1993,West,Fans,6,1,73,1984,1,16
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1993,East,Coaches,7,0,84,1986,1,1
Joe Dumars,SG,190,Detroit Pistons,United States,1993,East,Coaches,6,3,75,1985,1,18
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1993,East,Coaches,7,0,84,1985,1,1
Larry Johnson,F,250,Charlotte Hornets,United States,1993,East,Fans,6,6,78,1991,1,1
Michael Jordan,SG,215,Chicago Bulls,United States,1993,East,Fans,6,6,78,1984,1,3
Larry Nance,PF,205,Cleveland Cavaliers,United States,1993,East,Coaches,6,10,82,1981,1,20
Shaquille O'Neal,C,325,Orlando Magic,United States,1993,East,Fans,7,1,85,1992,1,1
Scottie Pippen,SF,228,Chicago Bulls,United States,1993,East,Fans,6,8,80,1987,1,5
Mark Price,PG,170,Cleveland Cavaliers,United States,1993,East,Coaches,6,0,72,1986,2,1
Detlef Schrempf,SF,214,Indiana Pacers,Germany United States,1993,East,Coaches,6,9,81,1985,1,8
Isiah Thomas,PG,180,Detroit Pistons,United States,1993,East,Fans,6,1,73,1981,1,2
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1993,East,Coaches,6,7,79,1982,1,3
Charles Barkley,PF,252,Phoenix Suns,United States,1994,West,Fans,6,6,78,1984,1,5
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1994,West,Fans,6,7,79,1983,1,14
Kevin Johnson,PG,180,Phoenix Suns,United States,1994,West,Coaches,6,1,73,1987,1,7
Shawn Kemp,C,280,Seattle SuperSonics,United States,1994,West,Fans,6,10,82,1989,1,17
Karl Malone,PF,265,Utah Jazz,United States,1994,West,Coaches,6,9,81,1985,1,13
Danny Manning,F,230,Los Angeles Clippers,United States,1994,West,Coaches,6,10,82,1988,1,1
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1994,West,Fans,7,0,84,1984,1,1
Gary Payton,G,180,Seattle SuperSonics,United States,1994,West,Replacement,6,4,76,1990,1,2
Mitch Richmond,SG,215,Sacramento Kings,United States,1994,West,Fans,6,5,77,1988,1,5
Cliff Robinson,PF,225,Portland Trail Blazers,United States,1994,West,Coaches,6,10,82,1989,2,9
David Robinson,C,250,San Antonio Spurs,United States,1994,West,Coaches,7,1,85,1987,1,1
Latrell Sprewell,SG,190,Golden State Warriors,United States,1994,West,Coaches,6,5,77,1992,1,24
John Stockton,PG,170,Utah Jazz,United States,1994,West,Coaches,6,1,73,1984,1,16
Kenny Anderson,PG,168,New Jersey Nets,United States,1994,East,Fans,6,0,72,1991,1,2
B.J. Armstrong,G,175,Chicago Bulls,United States,1994,East,Fans,6,2,74,1989,1,18
Mookie Blaylock,PG,190,Atlanta Hawks,United States,1994,East,Coaches,6,1,73,1989,1,12
Derrick Coleman,FC,230,New Jersey Nets,United States,1994,East,Fans,6,10,82,1990,1,1
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1994,East,Coaches,7,0,84,1985,1,1
Horace Grant,PF,255,Chicago Bulls,United States,1994,East,Replacement,6,10,82,1987,1,10
Alonzo Mourning,C,240,Charlotte Hornets,United States,1994,East,Coaches,6,10,82,1992,1,2
Shaquille O'Neal,C,325,Orlando Magic,United States,1994,East,Fans,7,1,85,1992,1,1
Charles Oakley,PF,225,New York Knicks,United States,1994,East,Coaches,6,8,80,1985,1,9
Scottie Pippen,SF,228,Chicago Bulls,United States,1994,East,Fans,6,8,80,1987,1,5
Mark Price,PG,170,Cleveland Cavaliers,United States,1994,East,Coaches,6,0,72,1986,2,1
John Starks,SG,180,New York Knicks,United States,1994,East,Coaches,6,3,75,-,-,-
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1994,East,Coaches,6,7,79,1982,1,3
Charles Barkley,PF,252,Phoenix Suns,United States,1995,West,Fans,6,6,78,1984,1,5
Cedric Ceballos,SF,190,Los Angeles Lakers,United States,1995,West,Coaches,6,6,78,1990,2,21
Shawn Kemp,C,280,Seattle SuperSonics,United States,1995,West,Fans,6,10,82,1989,1,17
Dan Majerle,SG,215,Phoenix Suns,United States,1995,West,Fans,6,6,78,1988,1,14
Karl Malone,PF,265,Utah Jazz,United States,1995,West,Coaches,6,9,81,1985,1,13
Dikembe Mutombo,C,260,Denver Nuggets,Democratic Republic of the Congo,1995,West,Replacement,7,2,86,1991,1,4
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1995,West,Fans,7,0,84,1984,1,1
Gary Payton,G,180,Seattle SuperSonics,United States,1995,West,Coaches,6,4,76,1990,1,2
Mitch Richmond,SG,215,Sacramento Kings,United States,1995,West,Coaches,6,5,77,1988,1,5
David Robinson,C,250,San Antonio Spurs,United States,1995,West,Coaches,7,1,85,1987,1,1
Detlef Schrempf,SF,214,Seattle SuperSonics,Germany United States,1995,West,Coaches,6,9,81,1985,1,8
Latrell Sprewell,SG,190,Golden State Warriors,United States,1995,West,Fans,6,5,77,1992,1,24
John Stockton,PG,170,Utah Jazz,United States,1995,West,Coaches,6,1,73,1984,1,16
Vin Baker,PF,240,Milwaukee Bucks,United States,1995,East,Coaches,6,11,83,1993,1,8
Dana Barros,PG,165,Philadelphia Sixers,United States,1995,East,Coaches,5,11,71,1989,1,16
Joe Dumars,SG,190,Detroit Pistons,United States,1995,East,Coaches,6,3,75,1985,1,18
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1995,East,Coaches,7,0,84,1985,1,1
Penny Hardaway,PG,195,Orlando Magic,United States,1995,East,Fans,6,7,79,1993,1,3
Grant Hill,SF,225,Detroit Pistons,United States,1995,East,Fans,6,8,80,1994,1,3
Tyrone Hill,PF,240,Cleveland Cavaliers,United States,1995,East,Coaches,6,9,81,1990,1,11
Larry Johnson,F,250,Charlotte Hornets,United States,1995,East,Coaches,6,6,78,1991,1,1
Reggie Miller,SG,185,Indiana Pacers,United States,1995,East,Fans,6,7,79,1987,1,11
Alonzo Mourning,C,240,Charlotte Hornets,United States,1995,East,Coaches,6,10,82,1992,1,2
Shaquille O'Neal,C,325,Orlando Magic,United States,1995,East,Fans,7,1,85,1992,1,1
Scottie Pippen,SF,228,Chicago Bulls,United States,1995,East,Fans,6,8,80,1987,1,5
Charles Barkley,PF,252,Phoenix Suns,United States,1996,West,Fans,6,6,78,1984,1,5
Clyde Drexler,SG,210,Houston Rockets,United States,1996,West,Fans,6,7,79,1983,1,14
Sean Elliott,SF,205,San Antonio Spurs,United States,1996,West,Coaches,6,8,80,1989,1,3
Shawn Kemp,C,280,Seattle SuperSonics,United States,1996,West,Fans,6,10,82,1989,1,17
Jason Kidd,PG,210,Dallas Mavericks,United States,1996,West,Fans,6,4,76,1994,1,2
Karl Malone,PF,265,Utah Jazz,United States,1996,West,Coaches,6,9,81,1985,1,13
Dikembe Mutombo,C,260,Denver Nuggets,Democratic Republic of the Congo,1996,West,Coaches,7,2,86,1991,1,4
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1996,West,Fans,7,0,84,1984,1,1
Gary Payton,G,180,Seattle SuperSonics,United States,1996,West,Coaches,6,4,76,1990,1,2
Mitch Richmond,SG,215,Sacramento Kings,United States,1996,West,Coaches,6,5,77,1988,1,5
David Robinson,C,250,San Antonio Spurs,United States,1996,West,Coaches,7,1,85,1987,1,1
John Stockton,PG,170,Utah Jazz,United States,1996,West,Coaches,6,1,73,1984,1,16
Vin Baker,PF,240,Milwaukee Bucks,United States,1996,East,Coaches,6,11,83,1993,1,8
Terrell Brandon,PG,180,Cleveland Cavaliers,United States,1996,East,Coaches,5,11,71,1991,1,11
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1996,East,Coaches,7,0,84,1985,1,1
Penny Hardaway,PG,195,Orlando Magic,United States,1996,East,Fans,6,7,79,1993,1,3
Grant Hill,SF,225,Detroit Pistons,United States,1996,East,Fans,6,8,80,1994,1,3
Juwan Howard,PF,240,Washington Bullets,United States,1996,East,Coaches,6,9,81,1994,1,5
Michael Jordan,SG,215,Chicago Bulls,United States,1996,East,Fans,6,6,78,1984,1,3
Reggie Miller,SG,185,Indiana Pacers,United States,1996,East,Coaches,6,7,79,1987,1,11
Alonzo Mourning,C,240,Miami Heat,United States,1996,East,Coaches,6,10,82,1992,1,2
Shaquille O'Neal,C,325,Orlando Magic,United States,1996,East,Fans,7,1,85,1992,1,1
Scottie Pippen,SF,228,Chicago Bulls,United States,1996,East,Fans,6,8,80,1987,1,5
Glen Rice,SF,228,Charlotte Hornets,United States,1996,East,Coaches,6,8,80,1989,1,4
Vin Baker,PF,240,Milwaukee Bucks,United States,1997,East,Coaches,6,11,83,1993,1,8
Terrell Brandon,PG,180,Cleveland Cavaliers,United States,1997,East,Coaches,5,11,71,1991,1,11
Joe Dumars,SG,190,Detroit Pistons,United States,1997,East,Replacement,6,3,75,1985,1,18
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1997,East,Fans,7,0,84,1985,1,1
Penny Hardaway,PG,195,Orlando Magic,United States,1997,East,Fans,6,7,79,1993,1,3
Tim Hardaway,PG,175,Miami Heat,United States,1997,East,Coaches,6,0,72,1989,1,14
Grant Hill,SF,225,Detroit Pistons,United States,1997,East,Fans,6,8,80,1994,1,3
Michael Jordan,SG,215,Chicago Bulls,United States,1997,East,Fans,6,6,78,1984,1,3
Christian Laettner,PF,245,Atlanta Hawks,United States,1997,East,Coaches,6,11,83,1992,1,3
Alonzo Mourning,C,240,Miami Heat,United States,1997,East,Coaches,6,10,82,1992,1,2
Dikembe Mutombo,C,260,Atlanta Hawks,Democratic Republic of the Congo,1997,East,Coaches,7,2,86,1991,1,4
Scottie Pippen,SF,228,Chicago Bulls,United States,1997,East,Fans,6,8,80,1987,1,5
Glen Rice,SF,228,Charlotte Hornets,United States,1997,East,Coaches,6,8,80,1989,1,4
Chris Webber,F-C,245,Washington Bullets,United States,1997,East,Replacement,6,9,81,1993,1,1
Charles Barkley,PF,252,Houston Rockets,United States,1997,West,Fans,6,6,78,1984,1,5
Clyde Drexler,SG,210,Houston Rockets,United States,1997,West,Coaches,6,7,79,1983,1,14
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,1997,West,Replacement,6,11,83,1995,1,5
Chris Gatling,PF,220,Dallas Mavericks,United States,1997,West,Replacement,6,10,82,1991,1,16
Tom Gugliotta,PF,240,Minnesota Timberwolves,United States,1997,West,Coaches,6,10,82,1992,1,6
Eddie Jones,G-F,200,Los Angeles Lakers,United States,1997,West,Coaches,6,6,78,1994,1,10
Shawn Kemp,C,280,Seattle SuperSonics,United States,1997,West,Fans,6,10,82,1989,1,17
Karl Malone,PF,265,Utah Jazz,United States,1997,West,Coaches,6,9,81,1985,1,13
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,1997,West,Coaches,7,1,85,1992,1,1
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1997,West,Fans,7,0,84,1984,1,1
Gary Payton,G,180,Seattle SuperSonics,United States,1997,West,Fans,6,4,76,1990,1,2
Mitch Richmond,SG,215,Sacramento Kings,United States,1997,West,Coaches,6,5,77,1988,1,5
Detlef Schrempf,SF,214,Seattle SuperSonics,Germany United States,1997,West,Replacement,6,9,81,1985,1,8
Latrell Sprewell,SG,190,Golden State Warriors,United States,1997,West,Coaches,6,5,77,1992,1,24
John Stockton,PG,170,Utah Jazz,United States,1997,West,Fans,6,1,73,1984,1,16
Penny Hardaway,PG,195,Orlando Magic,United States,1998,East,Fans,6,7,79,1993,1,3
Tim Hardaway,PG,175,Miami Heat,United States,1998,East,Coaches,6,0,72,1989,1,14
Grant Hill,SF,225,Detroit Pistons,United States,1998,East,Fans,6,8,80,1994,1,3
Michael Jordan,SG,215,Chicago Bulls,United States,1998,East,Fans,6,6,78,1984,1,3
Shawn Kemp,C,280,Cleveland Cavaliers,United States,1998,East,Fans,6,10,82,1989,1,17
Reggie Miller,SG,185,Indiana Pacers,United States,1998,East,Coaches,6,7,79,1987,1,11
Dikembe Mutombo,C,260,Atlanta Hawks,Democratic Republic of the Congo,1998,East,Fans,7,2,86,1991,1,4
Glen Rice,SF,228,Charlotte Hornets,United States,1998,East,Coaches,6,8,80,1989,1,4
Steve Smith,SG,200,Atlanta Hawks,United States,1998,East,Coaches,6,7,79,1991,1,5
Rik Smits,C,250,Indiana Pacers,Netherlands,1998,East,Coaches,7,4,88,1988,1,2
Antoine Walker,F,265,Boston Celtics,United States,1998,East,Coaches,6,9,81,1996,1,6
Jayson Williams,FC,245,New Jersey Nets,United States,1998,East,Coaches,6,10,82,1990,1,21
Vin Baker,PF,240,Seattle SuperSonics,United States,1998,West,Coaches,6,11,83,1993,1,8
Kobe Bryant,SG,212,Los Angeles Lakers,United States,1998,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,1998,West,Coaches,6,11,83,1997,1,1
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,1998,West,Fans,6,11,83,1995,1,5
Eddie Jones,G-F,200,Los Angeles Lakers,United States,1998,West,Coaches,6,6,78,1994,1,10
Jason Kidd,PG,210,Phoenix Suns,United States,1998,West,Coaches,6,4,76,1994,1,2
Karl Malone,PF,265,Utah Jazz,United States,1998,West,Fans,6,9,81,1985,1,13
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,1998,West,Fans,7,1,85,1992,1,1
Gary Payton,G,180,Seattle SuperSonics,United States,1998,West,Fans,6,4,76,1990,1,2
Mitch Richmond,SG,215,Sacramento Kings,United States,1998,West,Coaches,6,5,77,1988,1,5
David Robinson,C,250,San Antonio Spurs,United States,1998,West,Coaches,7,1,85,1987,1,1
Nick Van Exel,PG,170,Los Angeles Lakers,United States,1998,West,Coaches,6,1,73,1993,2,10
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2000,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,2000,West,Fans,6,11,83,1997,1,1
Michael Finley,G-F,225,Dallas Mavericks,United States,2000,West,Coaches,6,7,79,1995,1,21
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2000,West,Fans,6,11,83,1995,1,5
Jason Kidd,PG,210,Phoenix Suns,United States,2000,West,Fans,6,4,76,1994,1,2
Karl Malone,PF,265,Utah Jazz,United States,2000,West,Coaches,6,9,81,1985,1,13
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2000,West,Fans,7,1,85,1992,1,1
Gary Payton,G,180,Seattle SuperSonics,United States,2000,West,Coaches,6,4,76,1990,1,2
David Robinson,C,250,San Antonio Spurs,United States,2000,West,Coaches,7,1,85,1987,1,1
John Stockton,PG,170,Utah Jazz,United States,2000,West,Coaches,6,1,73,1984,1,16
Rasheed Wallace,FC,230,Portland Trail Blazers,United States,2000,West,Coaches,6,11,83,1995,1,4
Chris Webber,F-C,245,Sacramento Kings,United States,2000,West,Coaches,6,9,81,1993,1,1
Ray Allen,SG,205,Milwaukee Bucks,United States,2000,East,Coaches,6,5,77,1996,1,5
Vince Carter,SF,220,Toronto Raptors,United States,2000,East,Fans,6,6,78,1998,1,5
Dale Davis,C-F,252,Indiana Pacers,United States,2000,East,Coaches,6,11,83,1991,1,13
Grant Hill,SF,225,Detroit Pistons,United States,2000,East,Fans,6,8,80,1994,1,3
Allan Houston,G,205,New York Knicks,United States,2000,East,Coaches,6,6,78,1993,1,11
Allen Iverson,G,165,Philadelphia Sixers,United States,2000,East,Fans,6,0,72,1996,1,1
Eddie Jones,G-F,200,Charlotte Hornets,United States,2000,East,Fans,6,6,78,1994,1,10
Reggie Miller,SG,185,Indiana Pacers,United States,2000,East,Coaches,6,7,79,1987,1,11
Alonzo Mourning,C,240,Miami Heat,United States,2000,East,Fans,6,10,82,1992,1,2
Dikembe Mutombo,C,260,Atlanta Hawks,Democratic Republic of the Congo,2000,East,Coaches,7,2,86,1991,1,4
Glenn Robinson,SF,225,Milwaukee Bucks,United States,2000,East,Coaches,6,7,79,1994,1,1
Jerry Stackhouse,SF,218,Detroit Pistons,United States,2000,East,Coaches,6,6,78,1995,1,3
Ray Allen,SG,205,Milwaukee Bucks,United States,2001,East,Coaches,6,5,77,1996,1,5
Vince Carter,SF,220,Toronto Raptors,United States,2001,East,Fans,6,6,78,1998,1,5
Antonio Davis,FC,245,Toronto Raptors,United States,2001,East,Replacement,6,9,81,1990,2,18
Grant Hill,SF,225,Orlando Magic,United States,2001,East,Fans,6,8,80,1994,1,3
Allan Houston,G,205,New York Knicks,United States,2001,East,Coaches,6,6,78,1993,1,11
Allen Iverson,G,165,Philadelphia Sixers,United States,2001,East,Fans,6,0,72,1996,1,1
Stephon Marbury,G,180,New Jersey Nets,United States,2001,East,Coaches,6,2,74,1996,1,4
Anthony Mason,PF,250,Miami Heat,United States,2001,East,Coaches,6,7,79,1988,3,3
Tracy McGrady,GF,210,Orlando Magic,United States,2001,East,Fans,6,8,80,1997,1,9
Alonzo Mourning,C,240,Miami Heat,United States,2001,East,Fans,6,10,82,1992,1,2
Dikembe Mutombo,C,260,Atlanta Hawks,Democratic Republic of the Congo,2001,East,Replacement,7,2,86,1991,1,4
Theo Ratliff,C,235,Philadelphia Sixers,United States,2001,East,Coaches,6,10,82,1995,1,18
Glenn Robinson,SF,225,Milwaukee Bucks,United States,2001,East,Coaches,6,7,79,1994,1,1
Latrell Sprewell,SG,190,New York Knicks,United States,2001,East,Replacement,6,5,77,1992,1,24
Jerry Stackhouse,SF,218,Detroit Pistons,United States,2001,East,Coaches,6,6,78,1995,1,3
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2001,West,Fans,6,6,78,1996,1,13
Vlade Divac,C,260,Sacramento Kings,Serbia,2001,West,Replacement,7,1,85,1989,1,26
Tim Duncan,FC,250,San Antonio Spurs,United States,2001,West,Fans,6,11,83,1997,1,1
Michael Finley,G-F,225,Dallas Mavericks,United States,2001,West,Coaches,6,7,79,1995,1,21
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2001,West,Coaches,6,11,83,1995,1,5
Jason Kidd,PG,210,Phoenix Suns,United States,2001,West,Fans,6,4,76,1994,1,2
Karl Malone,PF,265,Utah Jazz,United States,2001,West,Coaches,6,9,81,1985,1,13
Antonio McDyess,F,245,Denver Nuggets,United States,2001,West,Coaches,6,9,81,1995,1,2
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2001,West,Fans,7,1,85,1992,1,1
Gary Payton,G,180,Seattle SuperSonics,United States,2001,West,Coaches,6,4,76,1990,1,2
David Robinson,C,250,San Antonio Spurs,United States,2001,West,Coaches,7,1,85,1987,1,1
Rasheed Wallace,FC,230,Portland Trail Blazers,United States,2001,West,Coaches,6,11,83,1995,1,4
Chris Webber,F-C,245,Sacramento Kings,United States,2001,West,Fans,6,9,81,1993,1,1
Shareef Abdur-Rahim,F,225,Atlanta Hawks,United States,2002,East,Coaches,6,9,81,1996,1,3
Ray Allen,SG,205,Milwaukee Bucks,United States,2002,East,Coaches,6,5,77,1996,1,5
Vince Carter,SF,220,Toronto Raptors,United States,2002,East,Fans,6,6,78,1998,1,5
Baron Davis,G,215,Charlotte Hornets,United States,2002,East,Replacement,6,3,75,1999,1,3
Allen Iverson,G,165,Philadelphia Sixers,United States,2002,East,Fans,6,0,72,1996,1,1
Michael Jordan,SG,215,Washington Wizards,United States,2002,East,Fans,6,6,78,1984,1,3
Jason Kidd,PG,210,New Jersey Nets,United States,2002,East,Coaches,6,4,76,1994,1,2
Tracy McGrady,GF,210,Orlando Magic,United States,2002,East,Coaches,6,8,80,1997,1,9
Alonzo Mourning,C,240,Miami Heat,United States,2002,East,Coaches,6,10,82,1992,1,2
Dikembe Mutombo,C,260,Philadelphia Sixers,Democratic Republic of the Congo,2002,East,Fans,7,2,86,1991,1,4
Jermaine O'Neal,FC,235,Indiana Pacers,United States,2002,East,Coaches,6,11,83,1996,1,17
Paul Pierce,SF,235,Boston Celtics,United States,2002,East,Coaches,6,7,79,1998,1,10
Antoine Walker,F,265,Boston Celtics,United States,2002,East,Fans,6,9,81,1996,1,6
Elton Brand,PF,254,Los Angeles Clippers,United States,2002,West,Replacement,6,9,81,1999,1,1
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2002,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,2002,West,Fans,6,11,83,1997,1,1
Steve Francis,G,195,Houston Rockets,United States,2002,West,Fans,6,3,75,1999,1,2
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2002,West,Fans,6,11,83,1995,1,5
Karl Malone,PF,265,Utah Jazz,United States,2002,West,Coaches,6,9,81,1985,1,13
Steve Nash,G,178,Dallas Mavericks,Canada South Africa,2002,West,Coaches,6,3,75,1996,1,15
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2002,West,Coaches,7,0,84,1998,1,9
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2002,West,Fans,7,1,85,1992,1,1
Gary Payton,G,180,Seattle SuperSonics,United States,2002,West,Coaches,6,4,76,1990,1,2
Peja Stojakovic,F,229,Sacramento Kings,Serbia Greece,2002,West,Coaches,6,10,82,1996,1,14
Wally Szczerbiak,F,240,Minnesota Timberwolves,United States Spain,2002,West,Coaches,6,7,79,1999,1,6
Chris Webber,F-C,245,Sacramento Kings,United States,2002,West,Coaches,6,9,81,1993,1,1
Vince Carter,SF,220,Toronto Raptors,United States,2003,East,Coaches,6,6,78,1998,1,5
Zydrunas Ilgauskas,C,260,Cleveland Cavaliers,Lithuania,2003,East,Coaches,7,3,87,1996,1,20
Allen Iverson,G,165,Philadelphia Sixers,United States,2003,East,Fans,6,0,72,1996,1,1
Michael Jordan,SG,215,Washington Wizards,United States,2003,East,Fans,6,6,78,1984,1,3
Jason Kidd,PG,210,New Jersey Nets,United States,2003,East,Coaches,6,4,76,1994,1,2
Jamal Mashburn,SF,247,New Orleans Hornets,United States,2003,East,Coaches,6,8,80,1993,1,4
Tracy McGrady,GF,210,Orlando Magic,United States,2003,East,Fans,6,8,80,1997,1,9
Brad Miller,C,261,Indiana Pacers,United States,2003,East,Coaches,7,0,84,-,-,-
Jermaine O'Neal,FC,235,Indiana Pacers,United States,2003,East,Fans,6,11,83,1996,1,17
Paul Pierce,SF,235,Boston Celtics,United States,2003,East,Coaches,6,7,79,1998,1,10
Antoine Walker,F,265,Boston Celtics,United States,2003,East,Coaches,6,9,81,1996,1,6
Ben Wallace,FC,240,Detroit Pistons,United States,2003,East,Fans,6,9,81,-,-,-
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2003,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,2003,West,Fans,6,11,83,1997,1,1
Steve Francis,G,195,Houston Rockets,United States,2003,West,Fans,6,3,75,1999,1,2
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2003,West,Fans,6,11,83,1995,1,5
